[0117/133059:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0117/133805:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0117/133830:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0117/165529:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0117/165616:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0117/165650:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0117/190740:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0117/191955:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0117/192103:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0117/195904:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0117/200806:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0118/114141:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0118/134029:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0118/143805:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0118/143842:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0118/144057:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0118/150353:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0118/150719:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0118/150804:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0118/153125:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0119/160652:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0119/160822:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0120/112130:ERROR:file_io.cc(30)] read: expected 4, observed 0
